dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
cit-Patents,1767073509,datanode,0.11%,325.1MiB / 3.828GiB,8.29%,4.12GB / 4.01GB,3.99GB / 4.67GB,67
cit-Patents,1767073509,resourcemanager,1.32%,447.7MiB / 3.828GiB,11.42%,1.43MB / 721kB,237MB / 424MB,264
cit-Patents,1767073509,nodemanager,171.97%,1.256GiB / 3.828GiB,32.82%,4GB / 214MB,2.8GB / 6.72GB,260
cit-Patents,1767073516,namenode,0.88%,696.7MiB / 3.828GiB,17.78%,12.8MB / 3.91GB,810MB / 312MB,91
cit-Patents,1767073516,datanode,0.07%,332.2MiB / 3.828GiB,8.48%,4.12GB / 4.07GB,4.06GB / 4.67GB,68
cit-Patents,1767073516,resourcemanager,0.57%,448.1MiB / 3.828GiB,11.43%,1.43MB / 723kB,237MB / 424MB,264
cit-Patents,1767073516,nodemanager,109.20%,1.424GiB / 3.828GiB,37.20%,4.06GB / 214MB,2.8GB / 6.72GB,260
cit-Patents,1767073523,namenode,1.28%,691MiB / 3.828GiB,17.63%,12.9MB / 3.91GB,810MB / 315MB,91
cit-Patents,1767073523,datanode,0.15%,318.5MiB / 3.828GiB,8.13%,4.12GB / 4.12GB,4.12GB / 4.68GB,68
cit-Patents,1767073523,resourcemanager,0.86%,440MiB / 3.828GiB,11.22%,1.44MB / 724kB,237MB / 431MB,264
cit-Patents,1767073523,nodemanager,114.71%,1.42GiB / 3.828GiB,37.11%,4.12GB / 214MB,2.8GB / 6.81GB,255
cit-Patents,1767073530,namenode,5.76%,683.2MiB / 3.828GiB,17.43%,12.9MB / 3.91GB,811MB / 324MB,89
cit-Patents,1767073530,datanode,1.15%,293.1MiB / 3.828GiB,7.48%,4.12GB / 4.15GB,4.14GB / 4.69GB,66
cit-Patents,1767073530,resourcemanager,0.87%,432.1MiB / 3.828GiB,11.03%,1.45MB / 726kB,240MB / 444MB,264
cit-Patents,1767073530,nodemanager,130.75%,1.394GiB / 3.828GiB,36.41%,4.14GB / 214MB,2.87GB / 6.99GB,253
cit-Patents,1767073538,namenode,2.12%,685.2MiB / 3.828GiB,17.48%,12.9MB / 3.91GB,811MB / 324MB,89
cit-Patents,1767073538,datanode,3.48%,295.6MiB / 3.828GiB,7.54%,4.14GB / 4.15GB,4.14GB / 4.71GB,68
cit-Patents,1767073538,resourcemanager,0.91%,432.8MiB / 3.828GiB,11.04%,1.46MB / 729kB,243MB / 444MB,264
cit-Patents,1767073538,nodemanager,190.16%,1.29GiB / 3.828GiB,33.70%,4.14GB / 221MB,3GB / 7.2GB,266
cit-Patents,1767073545,namenode,8.73%,689MiB / 3.828GiB,17.58%,12.9MB / 3.91GB,813MB / 324MB,89
cit-Patents,1767073545,datanode,1.86%,298.9MiB / 3.828GiB,7.63%,4.16GB / 4.15GB,4.14GB / 4.73GB,65
cit-Patents,1767073545,resourcemanager,1.21%,433.8MiB / 3.828GiB,11.07%,1.46MB / 731kB,244MB / 444MB,264
cit-Patents,1767073545,nodemanager,14.15%,1.006GiB / 3.828GiB,26.28%,4.14GB / 248MB,3.01GB / 7.2GB,214
cit-Patents,1767073553,namenode,4.44%,711MiB / 3.828GiB,18.14%,12.9MB / 3.91GB,815MB / 324MB,97
cit-Patents,1767073553,datanode,2.25%,304.7MiB / 3.828GiB,7.77%,4.16GB / 4.15GB,4.15GB / 4.73GB,66
cit-Patents,1767073553,resourcemanager,1.87%,443.9MiB / 3.828GiB,11.33%,1.47MB / 747kB,254MB / 444MB,270
cit-Patents,1767073553,nodemanager,210.20%,921.8MiB / 3.828GiB,23.52%,4.14GB / 248MB,3.02GB / 7.2GB,164
cit-Patents,1767073560,namenode,3.08%,714.1MiB / 3.828GiB,18.22%,12.9MB / 3.91GB,817MB / 324MB,94
cit-Patents,1767073560,datanode,0.55%,308.1MiB / 3.828GiB,7.86%,4.16GB / 4.15GB,4.15GB / 4.73GB,65
cit-Patents,1767073560,resourcemanager,1.29%,446MiB / 3.828GiB,11.38%,1.48MB / 753kB,257MB / 444MB,268
cit-Patents,1767073560,nodemanager,187.48%,1.158GiB / 3.828GiB,30.26%,4.14GB / 248MB,3.04GB / 7.2GB,249
cit-Patents,1767073568,namenode,3.75%,715.9MiB / 3.828GiB,18.27%,13MB / 3.91GB,818MB / 324MB,91
cit-Patents,1767073568,datanode,0.44%,310.1MiB / 3.828GiB,7.91%,4.16GB / 4.18GB,4.15GB / 4.73GB,67
cit-Patents,1767073568,resourcemanager,4.70%,446.7MiB / 3.828GiB,11.40%,1.49MB / 755kB,257MB / 444MB,266
cit-Patents,1767073568,nodemanager,17.96%,1020MiB / 3.828GiB,26.02%,4.17GB / 248MB,3.04GB / 7.2GB,222
cit-Patents,1767073575,namenode,4.87%,718.9MiB / 3.828GiB,18.34%,13MB / 3.91GB,818MB / 324MB,91
cit-Patents,1767073575,datanode,9.62%,312.2MiB / 3.828GiB,7.97%,4.16GB / 4.18GB,4.15GB / 4.73GB,66
cit-Patents,1767073575,resourcemanager,2.74%,447MiB / 3.828GiB,11.41%,1.5MB / 757kB,258MB / 444MB,266
cit-Patents,1767073575,nodemanager,45.68%,1.014GiB / 3.828GiB,26.48%,4.17GB / 248MB,3.04GB / 7.24GB,215
