dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
soc-pokec-relationships,1767073949,datanode,0.07%,356.2MiB / 3.828GiB,9.09%,5.74GB / 5.43GB,5.52GB / 6.42GB,66
soc-pokec-relationships,1767073949,resourcemanager,0.60%,471.8MiB / 3.828GiB,12.04%,1.84MB / 904kB,299MB / 458MB,272
soc-pokec-relationships,1767073949,nodemanager,125.84%,1.334GiB / 3.828GiB,34.85%,5.41GB / 301MB,5.33GB / 10.3GB,251
soc-pokec-relationships,1767073956,namenode,1.21%,656.1MiB / 3.828GiB,16.74%,23.8MB / 5.44GB,1.15GB / 369MB,92
soc-pokec-relationships,1767073956,datanode,0.38%,341.7MiB / 3.828GiB,8.72%,5.74GB / 5.48GB,5.57GB / 6.43GB,65
soc-pokec-relationships,1767073956,resourcemanager,0.56%,472.7MiB / 3.828GiB,12.06%,1.84MB / 906kB,300MB / 458MB,272
soc-pokec-relationships,1767073956,nodemanager,121.36%,1.344GiB / 3.828GiB,35.12%,5.46GB / 302MB,5.34GB / 10.4GB,253
soc-pokec-relationships,1767073963,namenode,0.81%,657.8MiB / 3.828GiB,16.78%,23.8MB / 5.44GB,1.15GB / 369MB,92
soc-pokec-relationships,1767073963,datanode,0.10%,342.9MiB / 3.828GiB,8.75%,5.74GB / 5.48GB,5.57GB / 6.43GB,67
soc-pokec-relationships,1767073963,resourcemanager,1.66%,494.8MiB / 3.828GiB,12.62%,1.85MB / 909kB,312MB / 458MB,272
soc-pokec-relationships,1767073963,nodemanager,16.26%,965.6MiB / 3.828GiB,24.64%,5.46GB / 302MB,5.41GB / 10.5GB,223
soc-pokec-relationships,1767073971,namenode,1.27%,659.5MiB / 3.828GiB,16.83%,23.8MB / 5.44GB,1.15GB / 369MB,91
soc-pokec-relationships,1767073971,datanode,0.92%,336.3MiB / 3.828GiB,8.58%,5.74GB / 5.53GB,5.62GB / 6.44GB,68
soc-pokec-relationships,1767073971,resourcemanager,1.23%,494.9MiB / 3.828GiB,12.63%,1.86MB / 910kB,312MB / 458MB,272
soc-pokec-relationships,1767073971,nodemanager,196.66%,1.339GiB / 3.828GiB,34.99%,5.51GB / 302MB,5.46GB / 10.6GB,260
soc-pokec-relationships,1767073978,namenode,3.25%,660.5MiB / 3.828GiB,16.85%,23.8MB / 5.44GB,1.15GB / 369MB,90
soc-pokec-relationships,1767073978,datanode,0.09%,337.9MiB / 3.828GiB,8.62%,5.74GB / 5.57GB,5.67GB / 6.44GB,68
soc-pokec-relationships,1767073978,resourcemanager,0.78%,495.2MiB / 3.828GiB,12.63%,1.87MB / 912kB,312MB / 458MB,272
soc-pokec-relationships,1767073978,nodemanager,109.03%,1.349GiB / 3.828GiB,35.24%,5.56GB / 302MB,5.46GB / 10.6GB,256
soc-pokec-relationships,1767073986,namenode,0.99%,661.4MiB / 3.828GiB,16.87%,23.8MB / 5.44GB,1.15GB / 369MB,89
soc-pokec-relationships,1767073986,datanode,1.90%,344.2MiB / 3.828GiB,8.78%,5.74GB / 5.61GB,5.71GB / 6.44GB,66
soc-pokec-relationships,1767073986,resourcemanager,1.92%,495.3MiB / 3.828GiB,12.64%,1.87MB / 914kB,312MB / 458MB,272
soc-pokec-relationships,1767073986,nodemanager,107.23%,1.355GiB / 3.828GiB,35.40%,5.59GB / 303MB,5.46GB / 10.6GB,255
soc-pokec-relationships,1767073993,namenode,2.34%,663.5MiB / 3.828GiB,16.93%,23.8MB / 5.44GB,1.15GB / 369MB,89
soc-pokec-relationships,1767073993,datanode,0.12%,345.1MiB / 3.828GiB,8.81%,5.74GB / 5.61GB,5.71GB / 6.44GB,66
soc-pokec-relationships,1767073993,resourcemanager,0.96%,495.7MiB / 3.828GiB,12.65%,1.88MB / 917kB,312MB / 458MB,272
soc-pokec-relationships,1767073993,nodemanager,164.62%,1.101GiB / 3.828GiB,28.78%,5.59GB / 303MB,5.53GB / 10.8GB,250
soc-pokec-relationships,1767074001,namenode,1.69%,664.7MiB / 3.828GiB,16.96%,23.8MB / 5.44GB,1.15GB / 369MB,89
soc-pokec-relationships,1767074001,datanode,0.25%,351.3MiB / 3.828GiB,8.96%,5.74GB / 5.67GB,5.77GB / 6.44GB,67
soc-pokec-relationships,1767074001,resourcemanager,0.48%,495.8MiB / 3.828GiB,12.65%,1.89MB / 918kB,312MB / 458MB,272
soc-pokec-relationships,1767074001,nodemanager,108.21%,1.344GiB / 3.828GiB,35.13%,5.65GB / 303MB,5.55GB / 10.8GB,257
soc-pokec-relationships,1767074008,namenode,1.16%,672.1MiB / 3.828GiB,17.15%,23.8MB / 5.44GB,1.15GB / 369MB,89
soc-pokec-relationships,1767074008,datanode,1.68%,344.6MiB / 3.828GiB,8.79%,5.74GB / 5.72GB,5.82GB / 6.44GB,67
soc-pokec-relationships,1767074008,resourcemanager,0.55%,496.4MiB / 3.828GiB,12.67%,1.89MB / 921kB,312MB / 459MB,272
soc-pokec-relationships,1767074008,nodemanager,114.49%,1.351GiB / 3.828GiB,35.30%,5.7GB / 303MB,5.55GB / 10.9GB,254
soc-pokec-relationships,1767074016,namenode,1.69%,673.8MiB / 3.828GiB,17.19%,23.8MB / 5.44GB,1.15GB / 369MB,89
soc-pokec-relationships,1767074016,datanode,0.30%,340.4MiB / 3.828GiB,8.69%,5.74GB / 5.75GB,5.85GB / 6.44GB,66
soc-pokec-relationships,1767074016,resourcemanager,0.66%,496.5MiB / 3.828GiB,12.67%,1.9MB / 923kB,312MB / 459MB,272
soc-pokec-relationships,1767074016,nodemanager,123.18%,1.363GiB / 3.828GiB,35.60%,5.73GB / 303MB,5.55GB / 11GB,257
soc-pokec-relationships,1767074023,namenode,1.71%,674.8MiB / 3.828GiB,17.22%,23.8MB / 5.44GB,1.15GB / 369MB,89
soc-pokec-relationships,1767074023,datanode,4.39%,348.6MiB / 3.828GiB,8.89%,5.74GB / 5.75GB,5.85GB / 6.44GB,67
soc-pokec-relationships,1767074023,resourcemanager,0.78%,497.4MiB / 3.828GiB,12.69%,1.91MB / 925kB,313MB / 459MB,272
soc-pokec-relationships,1767074023,nodemanager,181.86%,1.35GiB / 3.828GiB,35.26%,5.73GB / 303MB,5.6GB / 11.1GB,262
soc-pokec-relationships,1767074031,namenode,2.16%,681.4MiB / 3.828GiB,17.38%,23.8MB / 5.44GB,1.16GB / 369MB,89
soc-pokec-relationships,1767074031,datanode,0.50%,347.9MiB / 3.828GiB,8.88%,5.74GB / 5.77GB,5.87GB / 6.44GB,66
soc-pokec-relationships,1767074031,resourcemanager,0.96%,498MiB / 3.828GiB,12.71%,1.92MB / 927kB,313MB / 459MB,272
soc-pokec-relationships,1767074031,nodemanager,185.74%,1.134GiB / 3.828GiB,29.63%,5.75GB / 303MB,5.61GB / 11.1GB,256
soc-pokec-relationships,1767074038,namenode,1.15%,682.3MiB / 3.828GiB,17.41%,23.9MB / 5.44GB,1.16GB / 369MB,89
soc-pokec-relationships,1767074038,datanode,0.65%,337.1MiB / 3.828GiB,8.60%,5.75GB / 5.77GB,5.87GB / 6.46GB,68
soc-pokec-relationships,1767074038,resourcemanager,0.80%,498.1MiB / 3.828GiB,12.71%,1.92MB / 929kB,313MB / 459MB,272
soc-pokec-relationships,1767074038,nodemanager,103.38%,1.28GiB / 3.828GiB,33.45%,5.75GB / 312MB,5.96GB / 11.5GB,267
soc-pokec-relationships,1767074046,namenode,5.49%,686.8MiB / 3.828GiB,17.52%,23.9MB / 5.44GB,1.16GB / 370MB,89
soc-pokec-relationships,1767074046,datanode,0.75%,335.9MiB / 3.828GiB,8.57%,5.75GB / 5.77GB,5.87GB / 6.47GB,65
soc-pokec-relationships,1767074046,resourcemanager,1.08%,508.7MiB / 3.828GiB,12.98%,1.93MB / 931kB,324MB / 459MB,272
soc-pokec-relationships,1767074046,nodemanager,36.59%,982.8MiB / 3.828GiB,25.07%,5.75GB / 319MB,6.07GB / 11.5GB,213
soc-pokec-relationships,1767074054,namenode,5.40%,710.3MiB / 3.828GiB,18.12%,23.9MB / 5.44GB,1.16GB / 370MB,97
soc-pokec-relationships,1767074054,datanode,1.86%,340.9MiB / 3.828GiB,8.70%,5.75GB / 5.77GB,5.88GB / 6.47GB,66
soc-pokec-relationships,1767074054,resourcemanager,1.33%,514.7MiB / 3.828GiB,13.13%,1.94MB / 948kB,325MB / 459MB,278
soc-pokec-relationships,1767074054,nodemanager,185.84%,869.3MiB / 3.828GiB,22.18%,5.75GB / 319MB,6.11GB / 11.5GB,159
soc-pokec-relationships,1767074061,namenode,1.26%,712.6MiB / 3.828GiB,18.18%,23.9MB / 5.44GB,1.16GB / 370MB,94
soc-pokec-relationships,1767074061,datanode,0.13%,342MiB / 3.828GiB,8.72%,5.75GB / 5.77GB,5.88GB / 6.47GB,65
soc-pokec-relationships,1767074061,resourcemanager,0.79%,515.3MiB / 3.828GiB,13.15%,1.95MB / 954kB,326MB / 459MB,276
soc-pokec-relationships,1767074061,nodemanager,187.30%,1.098GiB / 3.828GiB,28.68%,5.75GB / 319MB,6.13GB / 11.5GB,246
soc-pokec-relationships,1767074069,namenode,5.80%,715.1MiB / 3.828GiB,18.24%,23.9MB / 5.44GB,1.16GB / 370MB,92
soc-pokec-relationships,1767074069,datanode,0.14%,344.4MiB / 3.828GiB,8.79%,5.75GB / 5.79GB,5.88GB / 6.47GB,67
soc-pokec-relationships,1767074069,resourcemanager,8.12%,516.2MiB / 3.828GiB,13.17%,1.96MB / 956kB,328MB / 459MB,274
soc-pokec-relationships,1767074069,nodemanager,102.95%,1020MiB / 3.828GiB,26.03%,5.77GB / 319MB,6.14GB / 11.5GB,246
soc-pokec-relationships,1767074076,namenode,4.18%,717.9MiB / 3.828GiB,18.32%,24MB / 5.44GB,1.16GB / 370MB,91
soc-pokec-relationships,1767074076,datanode,1.04%,348.3MiB / 3.828GiB,8.89%,5.75GB / 5.79GB,5.88GB / 6.48GB,66
soc-pokec-relationships,1767074076,resourcemanager,1.41%,516.1MiB / 3.828GiB,13.17%,1.96MB / 959kB,328MB / 459MB,274
soc-pokec-relationships,1767074076,nodemanager,34.77%,1006MiB / 3.828GiB,25.67%,5.77GB / 319MB,6.14GB / 11.5GB,173
