dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
soc-pokec-relationships,1767074821,nodemanager,182.17%,1.418GiB / 3.828GiB,37.04%,7.29GB / 412MB,7.4GB / 12.8GB,257
soc-pokec-relationships,1767074828,namenode,1.21%,720MiB / 3.828GiB,18.37%,34MB / 7.26GB,2.02GB / 416MB,93
soc-pokec-relationships,1767074828,datanode,2.81%,435.4MiB / 3.828GiB,11.11%,7.66GB / 7.37GB,7.52GB / 8.52GB,66
soc-pokec-relationships,1767074828,resourcemanager,0.48%,499.7MiB / 3.828GiB,12.75%,2.54MB / 1.24MB,353MB / 486MB,277
soc-pokec-relationships,1767074828,nodemanager,102.03%,1.43GiB / 3.828GiB,37.37%,7.34GB / 413MB,7.4GB / 12.8GB,251
soc-pokec-relationships,1767074836,namenode,0.81%,721.1MiB / 3.828GiB,18.40%,34.1MB / 7.26GB,2.02GB / 416MB,92
soc-pokec-relationships,1767074836,datanode,0.09%,416.4MiB / 3.828GiB,10.62%,7.66GB / 7.41GB,7.56GB / 8.54GB,66
soc-pokec-relationships,1767074836,resourcemanager,0.63%,500MiB / 3.828GiB,12.76%,2.55MB / 1.24MB,353MB / 486MB,277
soc-pokec-relationships,1767074836,nodemanager,118.04%,1.445GiB / 3.828GiB,37.74%,7.38GB / 413MB,7.4GB / 12.8GB,250
soc-pokec-relationships,1767074843,namenode,1.91%,731MiB / 3.828GiB,18.65%,34.1MB / 7.26GB,2.02GB / 418MB,92
soc-pokec-relationships,1767074843,datanode,0.22%,403.8MiB / 3.828GiB,10.30%,7.66GB / 7.41GB,7.56GB / 8.54GB,67
soc-pokec-relationships,1767074843,resourcemanager,0.76%,495.9MiB / 3.828GiB,12.65%,2.55MB / 1.24MB,353MB / 491MB,277
soc-pokec-relationships,1767074843,nodemanager,175.42%,1.271GiB / 3.828GiB,33.20%,7.38GB / 413MB,7.48GB / 12.8GB,257
soc-pokec-relationships,1767074851,namenode,0.90%,722.5MiB / 3.828GiB,18.43%,34.1MB / 7.26GB,2.02GB / 419MB,91
soc-pokec-relationships,1767074851,datanode,0.24%,417MiB / 3.828GiB,10.64%,7.66GB / 7.47GB,7.62GB / 8.54GB,68
soc-pokec-relationships,1767074851,resourcemanager,0.63%,496.5MiB / 3.828GiB,12.67%,2.56MB / 1.25MB,353MB / 491MB,277
soc-pokec-relationships,1767074851,nodemanager,135.48%,1.444GiB / 3.828GiB,37.72%,7.44GB / 413MB,7.48GB / 12.8GB,258
soc-pokec-relationships,1767074858,namenode,1.42%,723.2MiB / 3.828GiB,18.45%,34.1MB / 7.26GB,2.02GB / 419MB,91
soc-pokec-relationships,1767074858,datanode,0.62%,418.9MiB / 3.828GiB,10.69%,7.66GB / 7.51GB,7.67GB / 8.54GB,68
soc-pokec-relationships,1767074858,resourcemanager,0.79%,496MiB / 3.828GiB,12.66%,2.57MB / 1.25MB,353MB / 491MB,277
soc-pokec-relationships,1767074858,nodemanager,120.58%,1.455GiB / 3.828GiB,38.00%,7.5GB / 413MB,7.48GB / 12.8GB,255
soc-pokec-relationships,1767074866,namenode,5.70%,724.6MiB / 3.828GiB,18.49%,34.1MB / 7.26GB,2.02GB / 419MB,89
soc-pokec-relationships,1767074866,datanode,1.19%,417.5MiB / 3.828GiB,10.65%,7.66GB / 7.55GB,7.7GB / 8.54GB,66
soc-pokec-relationships,1767074866,resourcemanager,2.63%,496.4MiB / 3.828GiB,12.67%,2.57MB / 1.25MB,353MB / 491MB,277
soc-pokec-relationships,1767074866,nodemanager,124.03%,1.473GiB / 3.828GiB,38.49%,7.52GB / 414MB,7.49GB / 12.9GB,256
soc-pokec-relationships,1767074874,namenode,2.01%,727.5MiB / 3.828GiB,18.56%,34.1MB / 7.26GB,2.02GB / 419MB,89
soc-pokec-relationships,1767074874,datanode,3.32%,421.7MiB / 3.828GiB,10.76%,7.66GB / 7.59GB,7.75GB / 8.54GB,67
soc-pokec-relationships,1767074874,resourcemanager,0.59%,496.3MiB / 3.828GiB,12.66%,2.58MB / 1.25MB,353MB / 491MB,277
soc-pokec-relationships,1767074874,nodemanager,128.56%,1.443GiB / 3.828GiB,37.69%,7.55GB / 414MB,7.53GB / 12.9GB,260
soc-pokec-relationships,1767074881,namenode,0.87%,727.8MiB / 3.828GiB,18.57%,34.1MB / 7.26GB,2.02GB / 419MB,89
soc-pokec-relationships,1767074881,datanode,3.66%,429.2MiB / 3.828GiB,10.95%,7.66GB / 7.65GB,7.81GB / 8.54GB,67
soc-pokec-relationships,1767074881,resourcemanager,0.71%,496.5MiB / 3.828GiB,12.67%,2.59MB / 1.25MB,353MB / 491MB,277
soc-pokec-relationships,1767074881,nodemanager,177.42%,1.456GiB / 3.828GiB,38.03%,7.62GB / 414MB,7.53GB / 12.9GB,259
soc-pokec-relationships,1767074888,namenode,0.91%,728MiB / 3.828GiB,18.58%,34.1MB / 7.26GB,2.02GB / 419MB,89
soc-pokec-relationships,1767074888,datanode,0.09%,431MiB / 3.828GiB,11.00%,7.66GB / 7.69GB,7.85GB / 8.54GB,66
soc-pokec-relationships,1767074888,resourcemanager,0.78%,496.5MiB / 3.828GiB,12.67%,2.59MB / 1.26MB,353MB / 491MB,277
soc-pokec-relationships,1767074888,nodemanager,104.38%,1.462GiB / 3.828GiB,38.19%,7.66GB / 414MB,7.53GB / 12.9GB,255
soc-pokec-relationships,1767074896,namenode,0.71%,721.2MiB / 3.828GiB,18.40%,34.1MB / 7.26GB,2.02GB / 419MB,89
soc-pokec-relationships,1767074896,datanode,0.25%,411.7MiB / 3.828GiB,10.50%,7.66GB / 7.69GB,7.85GB / 8.54GB,66
soc-pokec-relationships,1767074896,resourcemanager,1.42%,497.5MiB / 3.828GiB,12.69%,2.6MB / 1.26MB,353MB / 491MB,277
soc-pokec-relationships,1767074896,nodemanager,177.75%,1.152GiB / 3.828GiB,30.10%,7.66GB / 414MB,7.57GB / 12.9GB,247
soc-pokec-relationships,1767074903,namenode,2.21%,721.8MiB / 3.828GiB,18.42%,34.1MB / 7.26GB,2.02GB / 419MB,89
soc-pokec-relationships,1767074903,datanode,0.15%,413.1MiB / 3.828GiB,10.54%,7.66GB / 7.71GB,7.87GB / 8.54GB,66
soc-pokec-relationships,1767074903,resourcemanager,1.29%,498MiB / 3.828GiB,12.71%,2.61MB / 1.26MB,354MB / 491MB,277
soc-pokec-relationships,1767074903,nodemanager,90.52%,1.065GiB / 3.828GiB,27.83%,7.68GB / 414MB,7.59GB / 13GB,228
soc-pokec-relationships,1767074911,namenode,27.08%,726.5MiB / 3.828GiB,18.54%,34.2MB / 7.26GB,2.02GB / 420MB,89
soc-pokec-relationships,1767074911,datanode,8.19%,416.7MiB / 3.828GiB,10.63%,7.68GB / 7.71GB,7.87GB / 8.56GB,65
soc-pokec-relationships,1767074911,resourcemanager,2.71%,498.2MiB / 3.828GiB,12.71%,2.62MB / 1.26MB,354MB / 491MB,277
soc-pokec-relationships,1767074911,nodemanager,129.99%,1.068GiB / 3.828GiB,27.90%,7.68GB / 430MB,7.65GB / 13GB,228
soc-pokec-relationships,1767074918,namenode,1.27%,747.6MiB / 3.828GiB,19.07%,34.2MB / 7.26GB,2.02GB / 420MB,98
soc-pokec-relationships,1767074918,datanode,0.15%,421.2MiB / 3.828GiB,10.75%,7.68GB / 7.71GB,7.88GB / 8.56GB,67
soc-pokec-relationships,1767074918,resourcemanager,1.26%,500.6MiB / 3.828GiB,12.77%,2.63MB / 1.27MB,355MB / 491MB,279
soc-pokec-relationships,1767074918,nodemanager,232.20%,780.6MiB / 3.828GiB,19.92%,7.68GB / 430MB,7.67GB / 13GB,152
soc-pokec-relationships,1767074926,namenode,5.03%,750.3MiB / 3.828GiB,19.14%,34.2MB / 7.26GB,2.02GB / 420MB,95
soc-pokec-relationships,1767074926,datanode,0.54%,422.6MiB / 3.828GiB,10.78%,7.68GB / 7.71GB,7.88GB / 8.56GB,66
soc-pokec-relationships,1767074926,resourcemanager,2.04%,501.6MiB / 3.828GiB,12.80%,2.64MB / 1.28MB,356MB / 491MB,279
soc-pokec-relationships,1767074926,nodemanager,129.08%,1.098GiB / 3.828GiB,28.69%,7.68GB / 430MB,7.69GB / 13GB,245
soc-pokec-relationships,1767074934,namenode,3.60%,752MiB / 3.828GiB,19.19%,34.2MB / 7.26GB,2.02GB / 420MB,92
soc-pokec-relationships,1767074934,datanode,0.24%,423.6MiB / 3.828GiB,10.81%,7.68GB / 7.72GB,7.88GB / 8.56GB,68
soc-pokec-relationships,1767074934,resourcemanager,3.15%,502.2MiB / 3.828GiB,12.81%,2.64MB / 1.29MB,356MB / 491MB,277
soc-pokec-relationships,1767074934,nodemanager,10.05%,1.005GiB / 3.828GiB,26.25%,7.7GB / 430MB,7.69GB / 13GB,222
soc-pokec-relationships,1767074941,namenode,3.57%,753.4MiB / 3.828GiB,19.22%,34.2MB / 7.26GB,2.03GB / 420MB,92
soc-pokec-relationships,1767074941,datanode,0.89%,425.5MiB / 3.828GiB,10.86%,7.68GB / 7.72GB,7.88GB / 8.56GB,67
soc-pokec-relationships,1767074941,resourcemanager,1.58%,502.4MiB / 3.828GiB,12.82%,2.65MB / 1.29MB,357MB / 491MB,277
soc-pokec-relationships,1767074941,nodemanager,22.59%,1.024GiB / 3.828GiB,26.74%,7.7GB / 431MB,7.7GB / 13GB,173
