dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
soc-LiveJournal1,1767074763,namenode,1.42%,765.4MiB / 3.828GiB,19.53%,33.2MB / 6.83GB,2GB / 411MB,95
soc-LiveJournal1,1767074763,datanode,2.13%,395.7MiB / 3.828GiB,10.10%,7.23GB / 7.23GB,7.4GB / 8.1GB,66
soc-LiveJournal1,1767074763,resourcemanager,2.51%,496.2MiB / 3.828GiB,12.66%,2.48MB / 1.21MB,349MB / 486MB,277
soc-LiveJournal1,1767074763,nodemanager,189.06%,1.228GiB / 3.828GiB,32.08%,7.2GB / 411MB,7.3GB / 12.6GB,251
soc-LiveJournal1,1767074770,namenode,3.58%,761.7MiB / 3.828GiB,19.43%,33.2MB / 6.83GB,2.01GB / 416MB,91
soc-LiveJournal1,1767074770,datanode,1.23%,398.7MiB / 3.828GiB,10.17%,7.23GB / 7.27GB,7.4GB / 8.1GB,67
soc-LiveJournal1,1767074770,resourcemanager,3.18%,496.9MiB / 3.828GiB,12.68%,2.49MB / 1.21MB,349MB / 486MB,277
soc-LiveJournal1,1767074770,nodemanager,103.45%,1.436GiB / 3.828GiB,37.53%,7.25GB / 411MB,7.3GB / 12.7GB,255
soc-LiveJournal1,1767074778,namenode,4.85%,762.4MiB / 3.828GiB,19.45%,33.2MB / 6.83GB,2.01GB / 416MB,91
soc-LiveJournal1,1767074778,datanode,3.26%,398.5MiB / 3.828GiB,10.17%,7.23GB / 7.27GB,7.4GB / 8.1GB,67
soc-LiveJournal1,1767074778,resourcemanager,0.44%,496.9MiB / 3.828GiB,12.68%,2.5MB / 1.21MB,349MB / 486MB,277
soc-LiveJournal1,1767074778,nodemanager,132.39%,1.31GiB / 3.828GiB,34.22%,7.25GB / 411MB,7.34GB / 12.7GB,264
